approach,attack,mean_err_m,peak_err_m,rmse_m,std_m,mean_solve_ms,degradation_factor
WLS,baseline,0.2626,4.4722,0.3532,0.2362,0.0,1.0
WLS,sybil,0.3024,0.6688,0.3487,0.1737,0.0,1.15
WLS,replay,0.4435,4.4722,0.5724,0.3619,0.0,1.69
WLS,wormhole,6.8149,17.8667,9.1808,6.1518,0.0,25.95
WLS,sybil_consistent,1.4503,2.149,1.6447,0.7757,0.0,5.52
WLS,replay_gradual,0.2926,0.5076,0.3181,0.1249,0.0,1.11
WLS,byzantine,18.2481,65.7577,27.9237,21.1362,0.0,69.49
WLS,timesync,0.4655,4.4722,0.7828,0.6294,0.0,1.77
EKF,baseline,0.439,0.8343,0.493,0.2242,0.0,1.0
EKF,sybil,0.3728,0.6691,0.4145,0.1813,0.0,0.85
EKF,replay,0.3913,0.568,0.4111,0.1261,0.0,0.89
EKF,wormhole,7.3475,27.5229,11.4434,8.7731,0.0,16.74
EKF,sybil_consistent,1.2455,1.849,1.3986,0.6363,0.0,2.84
EKF,replay_gradual,0.533,0.9588,0.5784,0.2246,0.0,1.21
EKF,byzantine,17.8626,61.8901,26.7241,19.8773,0.0,40.69
EKF,timesync,0.2328,0.501,0.2566,0.108,0.0,0.53
WLS + Huber,baseline,0.3903,0.825,0.4693,0.2606,1.714,1.0
WLS + Huber,sybil,0.3222,0.5502,0.3446,0.1222,1.714,0.83
WLS + Huber,replay,0.4374,0.9149,0.4761,0.1881,1.689,1.12
WLS + Huber,wormhole,10.9368,29.4814,14.7041,9.8284,1.757,28.02
WLS + Huber,sybil_consistent,0.3176,0.6789,0.3478,0.1418,1.76,0.81
WLS + Huber,replay_gradual,0.5619,0.9477,0.6028,0.2182,1.625,1.44
WLS + Huber,byzantine,20.3943,69.5409,30.3401,22.4632,1.954,52.25
WLS + Huber,timesync,0.3049,0.6137,0.3393,0.149,1.715,0.78
WLS + Tukey,baseline,0.2396,0.5489,0.2573,0.0937,3.36,1.0
WLS + Tukey,sybil,0.3154,0.6385,0.3473,0.1455,3.117,1.32
WLS + Tukey,replay,0.3007,0.71,0.3556,0.1899,3.074,1.26
WLS + Tukey,wormhole,0.5654,1.0834,0.6456,0.3116,3.298,2.36
WLS + Tukey,sybil_consistent,0.4235,0.8932,0.4949,0.2561,3.194,1.77
WLS + Tukey,replay_gradual,0.3937,0.8763,0.4529,0.2238,3.337,1.64
WLS + Tukey,byzantine,26.7906,88.389,39.4271,28.9268,3.493,111.81
WLS + Tukey,timesync,0.2857,0.575,0.3167,0.1367,3.286,1.19
RANSAC,baseline,0.255,0.5027,0.2833,0.1235,12.39,1.0
RANSAC,sybil,0.5421,0.991,0.6054,0.2695,12.133,2.13
RANSAC,replay,0.3501,0.7751,0.4311,0.2517,12.234,1.37
RANSAC,wormhole,0.5738,1.0468,0.64,0.2836,12.346,2.25
RANSAC,sybil_consistent,0.2287,0.5074,0.2585,0.1205,12.738,0.9
RANSAC,replay_gradual,0.2699,0.6121,0.3143,0.1612,12.597,1.06
RANSAC,byzantine,1.7953,3.2044,2.238,1.3362,12.626,7.04
RANSAC,timesync,0.2685,0.5759,0.305,0.1447,13.103,1.05
EKF+χ²+Huber ★,baseline,0.0165,0.0297,0.0171,0.0046,0.685,1.0
EKF+χ²+Huber ★,sybil,0.0351,0.0585,0.0366,0.0103,0.604,2.13
EKF+χ²+Huber ★,replay,0.0161,0.0372,0.0185,0.009,0.595,0.98
EKF+χ²+Huber ★,wormhole,0.0322,0.0522,0.0338,0.0104,0.633,1.95
EKF+χ²+Huber ★,sybil_consistent,0.0318,0.0623,0.0358,0.0164,0.59,1.93
EKF+χ²+Huber ★,replay_gradual,0.0194,0.0292,0.0198,0.004,0.577,1.18
EKF+χ²+Huber ★,byzantine,0.4447,0.7353,0.5431,0.3117,0.601,26.95
EKF+χ²+Huber ★,timesync,0.0335,0.0529,0.035,0.01,0.6,2.03
